,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,normweight,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
52,5/2/2016,US455780BD71,0.016712993,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/13/2020,Senior Unsecured,5.875,Semiannually,3.510335357,0.212885226,111.125,N,Baa3,BB+,USD-IDGV-SEN,3.863107461,1.513601321,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.446227276,0.169658922,0.67030813,-0.067374044
53,5/2/2016,US455780BF20,0.018385636,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,5/5/2021,Senior Unsecured,4.875,Semiannually,4.428458321,0.266106533,108.125,N,Baa3,BB+,USD-IDGV-SEN,5.00752909,1.608984601,0,0.035924702,FALSE,FALSE,0.266106533,0.796950194,1,1.541610557,0.212073653,0.67030813,-0.067374044
54,5/2/2016,US455780BJ42,0.029491459,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/17/2042,Unsecured,5.25,Semiannually,13.99349448,0.239495879,102.375,N,Baa3,BB+,USD-IDGV-SEN,25.71115674,2.081515619,0,0.032332232,FALSE,FALSE,0.239495879,0.796950194,1,2.014141575,0.190866288,0.67030813,-0.067374044
55,5/2/2016,US455780BK15,0.01926155,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/25/2022,Senior Unsecured,3.75,Semiannually,5.41409321,0.212885226,102.375,N,Baa3,BB+,USD-IDGV-SEN,5.979466119,1.655525807,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.588151763,0.169658922,0.67030813,-0.067374044
56,5/2/2016,US455780BL97,0.020123981,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/15/2023,Senior Unsecured,3.375,Semiannually,6.241096937,0.15966392,99.255,N,Baa3,BB+,USD-IDGV-SEN,6.951403149,1.699327098,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,1.631953053,0.127244192,0.67030813,-0.067374044
57,5/2/2016,USY20721BM04,0.028815517,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2045,Senior Unsecured,5.125,Semiannually,14.76500965,0.212885226,101.25,N,Baa3,BB+,USD-IDGV-SEN,28.7063655,2.058328948,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.990954904,0.169658922,0.67030813,-0.067374044
58,5/2/2016,US455780BP02,0.02340776,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,10/17/2023,Senior Unsecured,5.375,Semiannually,6.284290113,0.106442613,109.75,N,Baa3,BB+,USD-IDGV-SEN,7.457905544,1.850482503,0,0.014369881,FALSE,FALSE,0.106442613,0.796950194,1,1.783108459,0.084829461,0.67030813,-0.067374044
59,5/2/2016,US455780BQ84,0.022802938,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2024,Senior Unsecured,5.875,Semiannually,6.301977,0.212885226,113.625,N,Baa3,BB+,USD-IDGV-SEN,7.704312115,1.824304307,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.756930263,0.169658922,0.67030813,-0.067374044
60,5/2/2016,US455780BR67,0.031345373,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2044,Senior Unsecured,6.75,Semiannually,13.5603776,0.212885226,121.5,N,Baa3,BB+,USD-IDGV-SEN,27.70431212,2.142481581,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,2.075107536,0.169658922,0.67030813,-0.067374044
61,5/2/2016,US455780BT24,0.021921718,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2025,Senior Unsecured,4.125,Semiannually,7.319220168,0.212885226,102.25,N,Baa3,BB+,USD-IDGV-SEN,8.706365503,1.784892747,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.717518703,0.169658922,0.67030813,-0.067374044
